"scandal_id","title","artist","group","date","scandal_type","fandom_size","fandom_size_num","agency_tier","company_response","response_delay_days","apology","international","is_solo","prior_scandal","reaction_spike","label","label_binary","label_confidence","label_reasoning","notes"
1,"Heechul (Super Junior) car accident and subsequent media criticism","Heechul","Super Junior","2006-08-01","controversy","large",3,3,2,1,1,0,0,0,0.0,"low","not_high",4,"Heechul's criminal scandal -- Serious car accident requiring surgery and long recovery; public sympathy outweighed criticism, career unaffected long-term. With minimal lasting career impact.","Serious car accident requiring surgery and long recovery; public sympathy outweighed criticism, career unaffected long-term"
2,"TVXQ split: Junsu, Yoochun, Jaejoong sue SM Entertainment over slave contract","JYJ","TVXQ","2009-09-01","contract","mega",4,3,0,0,0,1,0,0,-0.769,"high","high",5,"Three TVXQ members sued SM Entertainment over exploitative 13-year contract; group permanently split into TVXQ and JYJ, ending one of K-pop's biggest acts. Resulting in severe, lasting career damage.","Three of five TVXQ members filed lawsuit against SM citing exploitative 13-year exclusive contract; group effectively split permanently"
3,"Jay Park forced to leave 2PM after anti-Korea MySpace comments surfaced","Jay Park","2PM","2009-09-08","controversy","large",3,3,0,2,1,1,0,0,0.226,"high","high",5,"Forced departure from 2PM and JYP Entertainment; although Jay Park later rebuilt solo career, original group career was permanently ended.","Pre-debut MySpace comments criticizing Korea surfaced; massive public backlash forced departure from 2PM and JYP Entertainment"
4,"Kangin (Super Junior) first drunk driving hit-and-run incident","Kangin","Super Junior","2009-11-07","criminal","large",3,3,1,2,1,0,0,0,-0.742,"medium","not_high",5,"Kangin's criminal scandal -- Hit-and-run while drunk driving, turned himself in next day; hiatus from Super Junior activities, but recovered and returned to group. Causing temporary career disruption but eventual recovery.","Hit-and-run while drunk driving, turned himself in next day; hiatus from Super Junior activities, but recovered and returned to group"
5,"Daesung (BIGBANG) car accident scandal","Daesung","BIGBANG","2011-05-31","criminal","large",3,3,2,1,1,1,0,1,5.591865357643759,"high","high",5,"Fatal car accident with criminal severity, immediate company response, prolonged hiatus, and substantial negative reaction spike (-9.893) indicate significant career disruption exceeding one year.","Fatal car accident, Daesung on hiatus"
6,"G-Dragon (BIGBANG) marijuana controversy investigation","G-Dragon","BIGBANG","2011-10-04","drugs","large",3,3,2,2,1,1,0,1,0.279442963607681,"medium","not_high",4,"High-profile artist with strong fandom protection and eventual acquittal mitigated career damage, but international severity and agency tier 3 status meant sustained backlash beyond weeks; recovery trajectory aligns with 6-12 month recovery pattern.","Marijuana use abroad, eventually acquitted"
7,"Nichkhun (2PM) arrested for drunk driving, loses CF deals","Nichkhun","2PM","2012-07-18","criminal","large",3,3,2,1,1,0,0,0,0.473,"medium","not_high",5,"Nichkhun's criminal scandal -- Arrested for drunk driving, received suspended sentence; lost multiple endorsement deals but recovered within a year. Causing temporary career disruption but eventual recovery.","Arrested for drunk driving, received suspended sentence; lost multiple endorsement deals but recovered within a year"
8,"T-ara bullying controversy among group members","T-ara","T-ara","2012-07-30","bullying","large",3,2,0,0,0,1,0,1,2.664874551971326,"high","high",5,"Severe bullying allegations with zero agency response, large fandom involvement, and international attention resulted in member departure and group disbandment, with career-long reputational damage lasting years.","Alleged bullying of member Hwayoung, agency mishandled"
9,"IU and Eunhyuk (Super Junior) photo scandal","IU","Solo","2012-11-25","dating","large",3,1,1,1,0,1,1,1,-0.7692307692307692,"low","not_high",4,"IU's large fandom and strong agency response within 1 day, combined with low severity dating scandal and quick resolution pattern, indicate short-term backlash with recovery within weeks rather than long-term career damage.","Accidental upload of intimate photo on Twitter"
10,"Rain confirms relationship with Kim Tae-hee","Rain","Solo","2013-01-01","dating","large",3,2,2,0,0,1,1,0,2.303,"low","not_high",5,"Public celebrated the relationship between two top stars; career completely unaffected, later marriage was positively received.","Long-rumored relationship confirmed; public reaction was overwhelmingly positive as both were A-list, eventually married in 2017"
11,"Zico (Block B) Thailand controversy and racist remarks","Zico","Block B","2013-02-07","controversy","medium",2,2,1,5,1,0,0,1,0.3753178958640075,"low","not_high",4,"Moderate severity with delayed company response was mitigated by medium fandom size, lower agency tier impact, and lack of international escalation, allowing recovery within weeks typical of insensitive remarks controversies.","Insensitive remarks during Thailand flood relief interview"
12,"Sooyoung (SNSD) dating actor Jung Kyung-ho confirmed publicly","Sooyoung","SNSD","2013-09-23","dating","mega",4,3,1,1,0,0,0,0,-0.038,"low","not_high",5,"Sooyoung's dating scandal -- Long-term relationship confirmed; positive public reaction, SNSD fandom remained supportive, no career impact, couple still together. With minimal lasting career impact.","Long-term relationship confirmed; positive public reaction, SNSD fandom remained supportive, no career impact, couple still together"
13,"Ailee intimate photos leaked without consent before US debut","Ailee","Solo","2013-11-04","behavior","medium",2,1,2,1,0,0,1,0,3.908,"medium","not_high",5,"Ailee's behavior scandal -- Ex-manager leaked pre-debut intimate photos; Ailee was the victim, agency issued immediate statement, career recovered within months. Causing temporary career disruption but eventual recovery.","Ex-manager leaked pre-debut intimate photos; Ailee was the victim, agency issued immediate statement, career recovered within months"
14,"Taeyeon (SNSD) secret relationship with Baekhyun revealed","Taeyeon","SNSD","2014-06-19","dating","mega",4,3,2,1,0,1,0,0,1.374,"low","not_high",4,"Taeyeon's dating scandal -- Dispatch revealed relationship with Baekhyun simultaneously; SM confirmed, initial fan backlash subsided quickly with strong SNSD fandom protection. With minimal lasting career impact.","Dispatch revealed relationship with Baekhyun simultaneously; SM confirmed, initial fan backlash subsided quickly with strong SNSD fandom protection"
15,"Baekhyun (EXO) secret relationship with Taeyeon exposed by Dispatch","Baekhyun","EXO","2014-06-19","dating","mega",4,3,2,1,1,1,0,0,1.149,"medium","not_high",4,"Baekhyun's dating scandal -- Dispatch exposed secret relationship with fellow SM artist Taeyeon; Baekhyun personally apologized to fans, sustained backlash but remained in EXO. Causing temporary career disruption but eventual recovery.","Dispatch exposed secret relationship with fellow SM artist Taeyeon; Baekhyun personally apologized to fans, sustained backlash but remained in EXO"
16,"Kim Hyunjoong charged with assault and injury after girlfriend allegations","Kim Hyunjoong","SS501","2014-08-22","criminal","medium",2,2,1,5,1,1,0,0,2.508,"high","high",5,"Kim Hyunjoong's criminal scandal -- Girlfriend filed assault charges, later pregnancy claims; multiple legal battles over years causing sustained career damage. Resulting in severe, lasting career damage.","Girlfriend filed assault charges, later pregnancy claims; multiple legal battles over years causing sustained career damage"
17,"Park Bom (2NE1) drug controversy and investigation","Park Bom","2NE1","2014-09-01","drugs","large",3,3,1,9,1,1,0,1,-0.8660714285714286,"high","high",5,"Amphetamine smuggling allegation with agency cover-up, delayed response, and international attention directly caused Park Bom's departure from 2NE1 and long-term career damage lasting years.","Amphetamine smuggling allegation, covered up by YG"
18,"Jessica Jung leaves Girls Generation amid contract dispute","Jessica","SNSD","2014-09-30","contract","mega",4,3,1,3,0,1,0,0,6.612903225806452,"high","high",5,"Jessica was forced out of SNSD due to contract/business conflict with SM Entertainment, resulting in permanent departure from the group and career-altering consequences lasting beyond one year.","Forced out of group, business conflict with SM"
